,cbr,lgbm,rfr,dtr,sum
price_purchased,0.5137750843098806,0.282415301356661,0.419474528193622,0.7908892459759339,2.0065541598360976
quantity_for_stock,0.021723544693255596,0.18759730150492995,0.07751163587926668,0.011032305700060406,0.2978647877775127
date_purchased_by_store,9.479156143153448e-05,0.031395952257394916,0.00388430775117476,0.001772835503660064,0.037147887073661276
date_put_on_shelf,7.213826410996626e-05,0.0,0.003946330888821363,0.0015452301160948784,0.005563699269026208
date_purchased_by_customer,8.020450750831378e-05,0.011046037512046853,0.003960676453688065,0.0015807552493598376,0.01666767372260307
weekly_sales,0.02432991529457163,0.22203276744013642,0.1404006221751041,0.012619575289813263,0.3993828801996254
monthly_sales,0.009012175198145424,0.03910593817184373,0.11150489686172145,0.00557076964651692,0.16519377987822753
quarterly_sales,0.004306286833060898,0.028171102379716807,0.07916434007678777,0.005144058415943101,0.11678578770550858
yearly_sales,0.0033656331247553213,0.04162651049002891,0.05197188044928235,0.005248849037462664,0.10221287310152925
expiration_date,8.482450747568138e-05,0.0,0.003893678909567089,0.0016757249840447332,0.005654228401087504
seasonal?,0.005315768476973004,0.020461116465267996,0.027794389586297655,0.0016839642323752315,0.05525523876091389
initial_release_date,0.00018516193015305686,0.0406256950107495,0.005626801658868675,0.0055499164394829485,0.05198757503925418
allergy_warning,1.0543911619428226e-05,0.002854177477944992,0.0008493391382706684,0.0007258039661273313,0.00443986449396242
damaged?,0.005439345395345928,0.027985766179850248,0.014029504225468458,0.0003082569403397988,0.047762872741004436
on_sale,0.41220458199171356,0.06468233375342872,0.05598706775205893,0.15465270850278479,0.6875266919999861
